id,stream,action_date,fiscal_year,case_number,subject_as_published,company,provisions,provisions_as_published,penalty_amount,press_release_url,source_url
"dk-2021-03-26-0079","dk","2021-03-26","2020","3(認)2","日本アルコン株式会社","日本アルコン株式会社","19条 / 一般指定12項","19条(一般指定12項)","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R2.html"
"dk-2021-03-12-0078","dk","2021-03-12","2020","3(認)1","ビー・エム・ダブリュー株式会社","ビー・エム・ダブリュー株式会社","19条 / 2条","19条(2条9項5号)","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R2.html"
"dk-2020-12-22-0073","dk","2020-12-22","2020","2(措)10","東海旅客鉄道株式会社が発注するリニア中央新幹線に係る品川駅及び名古屋駅新設工事の指名競争見積の参加業者","東海旅客鉄道株式会社が発注するリニア中央新幹線に係る品川駅及び名古屋駅新設工事の指名競争見積の参加業者","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R2.html"
"dk-2020-11-12-0077","dk","2020-11-12","2020","2(認)5","株式会社シード","株式会社シード","19条 / 一般指定12項","19条(一般指定12項)","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R2.html"
"dk-2020-09-10-0076","dk","2020-09-10","2020","2(認)4","アマゾンジャパン合同会社","アマゾンジャパン合同会社","19条 / 2条","19条(2条9項5号)","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R2.html"
"dk-2020-08-05-0075","dk","2020-08-05","2020","2(認)3","ゲンキー株式会社","ゲンキー株式会社","19条 / 2条","19条(2条9項5号)","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R2.html"
"dk-2020-07-07-0072","dk","2020-07-07","2020","2(措)9","マイナミ空港サービス株式会社","マイナミ空港サービス株式会社","3条前段","3条前段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R2.html"
"dk-2020-07-01-0071","dk","2020-07-01","2020","2(措)8","愛知県立高等学校の制服の販売業者","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R2.html"
"dk-2020-07-01-0070","dk","2020-07-01","2020","2(措)7","愛知県立高等学校の制服の販売業者","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R2.html"
"dk-2020-07-01-0069","dk","2020-07-01","2020","2(措)6","愛知県立高等学校の制服の販売業者","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R2.html"
